county,precinct,office,district,party,candidate,votes,percent
Benton,PRECINCT 18,President,,DEM,Under-Votes,13,6.70%
Benton,PRECINCT 18,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 18,President,,DEM,Total Votes Cast,194,
Benton,PRECINCT 19,President,,DEM,"LYNDON H. LAROUCHE, JR.",5,1.08%
Benton,PRECINCT 19,President,,DEM,JOHN F. KERRY,284,61.08%
Benton,PRECINCT 19,President,,DEM,DENNIS J. KUCINICH,147,31.61%
Benton,PRECINCT 19,President,,DEM,Write-Ins,8,1.72%
Benton,PRECINCT 19,President,,DEM,Total,444,
Benton,PRECINCT 19,President,,DEM,Under-Votes,21,4.52%
Benton,PRECINCT 19,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 19,President,,DEM,Total Votes Cast,465,
Benton,PRECINCT 20,President,,DEM,"LYNDON H. LAROUCHE, JR.",6,2.46%
Benton,PRECINCT 20,President,,DEM,JOHN F. KERRY,176,72.13%
Benton,PRECINCT 20,President,,DEM,DENNIS J. KUCINICH,48,19.67%
Benton,PRECINCT 20,President,,DEM,Write-Ins,5,2.05%
Benton,PRECINCT 20,President,,DEM,Total,235,
Benton,PRECINCT 20,President,,DEM,Under-Votes,9,3.69%
Benton,PRECINCT 20,President,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 20,President,,DEM,Total Votes Cast,244,
Benton,PRECINCT 01,President,,REP,GEORGE W. BUSH,448,83.74%
Benton,PRECINCT 01,President,,REP,Write-Ins,24,4.49%
Benton,PRECINCT 01,President,,REP,Total,472,
Benton,PRECINCT 01,President,,REP,Under-Votes,63,11.78%
Benton,PRECINCT 01,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 01,President,,REP,Total Votes Cast,535,
Benton,PRECINCT 02,President,,REP,GEORGE W. BUSH,81,77.14%
Benton,PRECINCT 02,President,,REP,Write-Ins,12,11.43%
Benton,PRECINCT 02,President,,REP,Total,93,
Benton,PRECINCT 02,President,,REP,Under-Votes,11,10.48%
Benton,PRECINCT 02,President,,REP,Over-Votes,1,0.95%
Benton,PRECINCT 02,President,,REP,Total Votes Cast,105,
Benton,PRECINCT 03,President,,REP,GEORGE W. BUSH,222,86.05%
Benton,PRECINCT 03,President,,REP,Write-Ins,23,8.91%
Benton,PRECINCT 03,President,,REP,Total,245,
Benton,PRECINCT 03,President,,REP,Under-Votes,13,5.04%
Benton,PRECINCT 03,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 03,President,,REP,Total Votes Cast,258,
Benton,PRECINCT 04,President,,REP,GEORGE W. BUSH,86,73.50%
Benton,PRECINCT 04,President,,REP,Write-Ins,5,4.27%
Benton,PRECINCT 04,President,,REP,Total,91,
Benton,PRECINCT 04,President,,REP,Under-Votes,26,22.22%
Benton,PRECINCT 04,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 04,President,,REP,Total Votes Cast,117,
Benton,PRECINCT 05,President,,REP,GEORGE W. BUSH,146,73.37%
Benton,PRECINCT 05,President,,REP,Write-Ins,22,11.06%
Benton,PRECINCT 05,President,,REP,Total,168,
Benton,PRECINCT 05,President,,REP,Under-Votes,31,15.58%
Benton,PRECINCT 05,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 05,President,,REP,Total Votes Cast,199,
Benton,PRECINCT 06,President,,REP,GEORGE W. BUSH,308,83.92%
Benton,PRECINCT 06,President,,REP,Write-Ins,22,5.99%
Benton,PRECINCT 06,President,,REP,Total,330,
Benton,PRECINCT 06,President,,REP,Under-Votes,37,10.08%
Benton,PRECINCT 06,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 06,President,,REP,Total Votes Cast,367,
Benton,PRECINCT 07,President,,REP,GEORGE W. BUSH,437,83.88%
Benton,PRECINCT 07,President,,REP,Write-Ins,36,6.91%
Benton,PRECINCT 07,President,,REP,Total,473,
Benton,PRECINCT 07,President,,REP,Under-Votes,48,9.21%
Benton,PRECINCT 07,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 07,President,,REP,Total Votes Cast,521,
Benton,PRECINCT 08,President,,REP,GEORGE W. BUSH,533,82.25%
Benton,PRECINCT 08,President,,REP,Write-Ins,40,6.17%
Benton,PRECINCT 08,President,,REP,Total,573,
Benton,PRECINCT 08,President,,REP,Under-Votes,75,11.57%
Benton,PRECINCT 08,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 08,President,,REP,Total Votes Cast,648,
Benton,PRECINCT 09,President,,REP,GEORGE W. BUSH,360,82.76%
Benton,PRECINCT 09,President,,REP,Write-Ins,20,4.60%
Benton,PRECINCT 09,President,,REP,Total,380,
Benton,PRECINCT 09,President,,REP,Under-Votes,55,12.64%
Benton,PRECINCT 09,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 09,President,,REP,Total Votes Cast,435,
Benton,PRECINCT 10,President,,REP,GEORGE W. BUSH,288,88.89%
Benton,PRECINCT 10,President,,REP,Write-Ins,17,5.25%
Benton,PRECINCT 10,President,,REP,Total,305,
Benton,PRECINCT 10,President,,REP,Under-Votes,19,5.86%
Benton,PRECINCT 10,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 10,President,,REP,Total Votes Cast,324,
Benton,PRECINCT 11,President,,REP,GEORGE W. BUSH,727,89.75%
Benton,PRECINCT 11,President,,REP,Write-Ins,27,3.33%
Benton,PRECINCT 11,President,,REP,Total,754,
Benton,PRECINCT 11,President,,REP,Under-Votes,56,6.91%
Benton,PRECINCT 11,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 11,President,,REP,Total Votes Cast,810,
Benton,PRECINCT 12,President,,REP,GEORGE W. BUSH,81,92.05%
Benton,PRECINCT 12,President,,REP,Write-Ins,1,1.14%
Benton,PRECINCT 12,President,,REP,Total,82,
Benton,PRECINCT 12,President,,REP,Under-Votes,6,6.82%
Benton,PRECINCT 12,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 12,President,,REP,Total Votes Cast,88,
Benton,PRECINCT 13,President,,REP,GEORGE W. BUSH,35,76.09%
Benton,PRECINCT 13,President,,REP,Write-Ins,5,10.87%
Benton,PRECINCT 13,President,,REP,Total,40,
Benton,PRECINCT 13,President,,REP,Under-Votes,6,13.04%
Benton,PRECINCT 13,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 13,President,,REP,Total Votes Cast,46,
Benton,PRECINCT 14,President,,REP,GEORGE W. BUSH,89,86.41%
Benton,PRECINCT 14,President,,REP,Write-Ins,3,2.91%
Benton,PRECINCT 14,President,,REP,Total,92,
Benton,PRECINCT 14,President,,REP,Under-Votes,11,10.68%
Benton,PRECINCT 14,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 14,President,,REP,Total Votes Cast,103,
Benton,PRECINCT 15,President,,REP,GEORGE W. BUSH,386,88.94%
Benton,PRECINCT 15,President,,REP,Write-Ins,21,4.84%
Benton,PRECINCT 15,President,,REP,Total,407,
Benton,PRECINCT 15,President,,REP,Under-Votes,27,6.22%
Benton,PRECINCT 15,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 15,President,,REP,Total Votes Cast,434,
Benton,PRECINCT 16,President,,REP,GEORGE W. BUSH,224,82.05%
Benton,PRECINCT 16,President,,REP,Write-Ins,16,5.86%
Benton,PRECINCT 16,President,,REP,Total,240,
Benton,PRECINCT 16,President,,REP,Under-Votes,33,12.09%
Benton,PRECINCT 16,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 16,President,,REP,Total Votes Cast,273,
Benton,PRECINCT 17,President,,REP,GEORGE W. BUSH,461,82.76%
Benton,PRECINCT 17,President,,REP,Write-Ins,43,7.72%
Benton,PRECINCT 17,President,,REP,Total,504,
Benton,PRECINCT 17,President,,REP,Under-Votes,53,9.52%
Benton,PRECINCT 17,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 17,President,,REP,Total Votes Cast,557,
Benton,PRECINCT 18,President,,REP,GEORGE W. BUSH,257,90.49%
Benton,PRECINCT 18,President,,REP,Write-Ins,10,3.52%
Benton,PRECINCT 18,President,,REP,Total,267,
Benton,PRECINCT 18,President,,REP,Under-Votes,17,5.99%
Benton,PRECINCT 18,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 18,President,,REP,Total Votes Cast,284,
Benton,PRECINCT 19,President,,REP,GEORGE W. BUSH,276,87.34%
Benton,PRECINCT 19,President,,REP,Write-Ins,13,4.11%
Benton,PRECINCT 19,President,,REP,Total,289,
Benton,PRECINCT 19,President,,REP,Under-Votes,27,8.54%
Benton,PRECINCT 19,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 19,President,,REP,Total Votes Cast,316,
Benton,PRECINCT 20,President,,REP,GEORGE W. BUSH,205,89.91%
Benton,PRECINCT 20,President,,REP,Write-Ins,8,3.51%
Benton,PRECINCT 20,President,,REP,Total,213,
Benton,PRECINCT 20,President,,REP,Under-Votes,15,6.58%
Benton,PRECINCT 20,President,,REP,Over-Votes,0,0.00%
Benton,PRECINCT 20,President,,REP,Total Votes Cast,228,
Benton,PRECINCT 01,U.S. Senate,,DEM,RON WYDEN,743,90.94%
Benton,PRECINCT 01,U.S. Senate,,DEM,Write-Ins,5,0.61%
Benton,PRECINCT 01,U.S. Senate,,DEM,Total,748,
Benton,PRECINCT 01,U.S. Senate,,DEM,Under-Votes,69,8.45%
Benton,PRECINCT 01,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 01,U.S. Senate,,DEM,Total Votes Cast,817,
Benton,PRECINCT 02,U.S. Senate,,DEM,RON WYDEN,341,86.99%
Benton,PRECINCT 02,U.S. Senate,,DEM,Write-Ins,2,0.51%
Benton,PRECINCT 02,U.S. Senate,,DEM,Total,343,
Benton,PRECINCT 02,U.S. Senate,,DEM,Under-Votes,49,12.50%
Benton,PRECINCT 02,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 02,U.S. Senate,,DEM,Total Votes Cast,392,
Benton,PRECINCT 03,U.S. Senate,,DEM,RON WYDEN,506,88.46%
Benton,PRECINCT 03,U.S. Senate,,DEM,Write-Ins,12,2.10%
Benton,PRECINCT 03,U.S. Senate,,DEM,Total,518,
Benton,PRECINCT 03,U.S. Senate,,DEM,Under-Votes,54,9.44%
Benton,PRECINCT 03,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 03,U.S. Senate,,DEM,Total Votes Cast,572,
Benton,PRECINCT 04,U.S. Senate,,DEM,RON WYDEN,297,92.52%
Benton,PRECINCT 04,U.S. Senate,,DEM,Write-Ins,1,0.31%
Benton,PRECINCT 04,U.S. Senate,,DEM,Total,298,
Benton,PRECINCT 04,U.S. Senate,,DEM,Under-Votes,23,7.17%
Benton,PRECINCT 04,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 04,U.S. Senate,,DEM,Total Votes Cast,321,
Benton,PRECINCT 05,U.S. Senate,,DEM,RON WYDEN,678,91.50%
Benton,PRECINCT 05,U.S. Senate,,DEM,Write-Ins,3,0.40%
Benton,PRECINCT 05,U.S. Senate,,DEM,Total,681,
Benton,PRECINCT 05,U.S. Senate,,DEM,Under-Votes,60,8.10%
Benton,PRECINCT 05,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 05,U.S. Senate,,DEM,Total Votes Cast,741,
Benton,PRECINCT 06,U.S. Senate,,DEM,RON WYDEN,719,90.21%
Benton,PRECINCT 06,U.S. Senate,,DEM,Write-Ins,8,1.00%
Benton,PRECINCT 06,U.S. Senate,,DEM,Total,727,
Benton,PRECINCT 06,U.S. Senate,,DEM,Under-Votes,70,8.78%
Benton,PRECINCT 06,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 06,U.S. Senate,,DEM,Total Votes Cast,797,
Benton,PRECINCT 07,U.S. Senate,,DEM,RON WYDEN,"1,051",91.47%
Benton,PRECINCT 07,U.S. Senate,,DEM,Write-Ins,8,0.70%
Benton,PRECINCT 07,U.S. Senate,,DEM,Total,"1,059",
Benton,PRECINCT 07,U.S. Senate,,DEM,Under-Votes,90,7.83%
Benton,PRECINCT 07,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 07,U.S. Senate,,DEM,Total Votes Cast,"1,149",
Benton,PRECINCT 08,U.S. Senate,,DEM,RON WYDEN,973,91.62%
Benton,PRECINCT 08,U.S. Senate,,DEM,Write-Ins,10,0.94%
Benton,PRECINCT 08,U.S. Senate,,DEM,Total,983,
Benton,PRECINCT 08,U.S. Senate,,DEM,Under-Votes,79,7.44%
Benton,PRECINCT 08,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 08,U.S. Senate,,DEM,Total Votes Cast,"1,062",
Benton,PRECINCT 09,U.S. Senate,,DEM,RON WYDEN,577,92.47%
Benton,PRECINCT 09,U.S. Senate,,DEM,Write-Ins,2,0.32%
Benton,PRECINCT 09,U.S. Senate,,DEM,Total,579,
Benton,PRECINCT 09,U.S. Senate,,DEM,Under-Votes,45,7.21%
Benton,PRECINCT 09,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 09,U.S. Senate,,DEM,Total Votes Cast,624,
Benton,PRECINCT 10,U.S. Senate,,DEM,RON WYDEN,346,91.53%
Benton,PRECINCT 10,U.S. Senate,,DEM,Write-Ins,2,0.53%
Benton,PRECINCT 10,U.S. Senate,,DEM,Total,348,
Benton,PRECINCT 10,U.S. Senate,,DEM,Under-Votes,30,7.94%
Benton,PRECINCT 10,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 10,U.S. Senate,,DEM,Total Votes Cast,378,
Benton,PRECINCT 11,U.S. Senate,,DEM,RON WYDEN,494,91.48%
Benton,PRECINCT 11,U.S. Senate,,DEM,Write-Ins,5,0.93%
Benton,PRECINCT 11,U.S. Senate,,DEM,Total,499,
Benton,PRECINCT 11,U.S. Senate,,DEM,Under-Votes,41,7.59%
Benton,PRECINCT 11,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 11,U.S. Senate,,DEM,Total Votes Cast,540,
Benton,PRECINCT 12,U.S. Senate,,DEM,RON WYDEN,31,86.11%
Benton,PRECINCT 12,U.S. Senate,,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 12,U.S. Senate,,DEM,Total,31,
Benton,PRECINCT 12,U.S. Senate,,DEM,Under-Votes,5,13.89%
Benton,PRECINCT 12,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 12,U.S. Senate,,DEM,Total Votes Cast,36,
Benton,PRECINCT 13,U.S. Senate,,DEM,RON WYDEN,45,95.74%
Benton,PRECINCT 13,U.S. Senate,,DEM,Write-Ins,0,0.00%
Benton,PRECINCT 13,U.S. Senate,,DEM,Total,45,
Benton,PRECINCT 13,U.S. Senate,,DEM,Under-Votes,2,4.26%
Benton,PRECINCT 13,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 13,U.S. Senate,,DEM,Total Votes Cast,47,
Benton,PRECINCT 14,U.S. Senate,,DEM,RON WYDEN,91,87.50%
Benton,PRECINCT 14,U.S. Senate,,DEM,Write-Ins,3,2.88%
Benton,PRECINCT 14,U.S. Senate,,DEM,Total,94,
Benton,PRECINCT 14,U.S. Senate,,DEM,Under-Votes,10,9.62%
Benton,PRECINCT 14,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 14,U.S. Senate,,DEM,Total Votes Cast,104,
Benton,PRECINCT 15,U.S. Senate,,DEM,RON WYDEN,497,89.71%
Benton,PRECINCT 15,U.S. Senate,,DEM,Write-Ins,6,1.08%
Benton,PRECINCT 15,U.S. Senate,,DEM,Total,503,
Benton,PRECINCT 15,U.S. Senate,,DEM,Under-Votes,51,9.21%
Benton,PRECINCT 15,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 15,U.S. Senate,,DEM,Total Votes Cast,554,
Benton,PRECINCT 16,U.S. Senate,,DEM,RON WYDEN,323,89.72%
Benton,PRECINCT 16,U.S. Senate,,DEM,Write-Ins,1,0.28%
Benton,PRECINCT 16,U.S. Senate,,DEM,Total,324,
Benton,PRECINCT 16,U.S. Senate,,DEM,Under-Votes,36,10.00%
Benton,PRECINCT 16,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 16,U.S. Senate,,DEM,Total Votes Cast,360,
Benton,PRECINCT 17,U.S. Senate,,DEM,RON WYDEN,692,91.41%
Benton,PRECINCT 17,U.S. Senate,,DEM,Write-Ins,2,0.26%
Benton,PRECINCT 17,U.S. Senate,,DEM,Total,694,
Benton,PRECINCT 17,U.S. Senate,,DEM,Under-Votes,63,8.32%
Benton,PRECINCT 17,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 17,U.S. Senate,,DEM,Total Votes Cast,757,
Benton,PRECINCT 18,U.S. Senate,,DEM,RON WYDEN,173,89.18%
Benton,PRECINCT 18,U.S. Senate,,DEM,Write-Ins,1,0.52%
Benton,PRECINCT 18,U.S. Senate,,DEM,Total,174,
Benton,PRECINCT 18,U.S. Senate,,DEM,Under-Votes,20,10.31%
Benton,PRECINCT 18,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 18,U.S. Senate,,DEM,Total Votes Cast,194,
Benton,PRECINCT 19,U.S. Senate,,DEM,RON WYDEN,406,87.31%
Benton,PRECINCT 19,U.S. Senate,,DEM,Write-Ins,2,0.43%
Benton,PRECINCT 19,U.S. Senate,,DEM,Total,408,
Benton,PRECINCT 19,U.S. Senate,,DEM,Under-Votes,57,12.26%
Benton,PRECINCT 19,U.S. Senate,,DEM,Over-Votes,0,0.00%
Benton,PRECINCT 19,U.S. Senate,,DEM,Total Votes Cast,465,
Benton,PRECINCT 20,U.S. Senate,,DEM,RON WYDEN,217,88.93%
Benton,PRECINCT 20,U.S. Senate,,DEM,Write-Ins,2,0.82%
