office,district,party,candidate,precinct,votes
Governor,,D,Under Votes,0010 10,16
Governor,,D,Under Votes,0011 11,24
Governor,,D,Under Votes,0012 12,0
Governor,,D,Under Votes,0013 13,2
Governor,,D,Under Votes,0014 14,2
Governor,,D,Under Votes,0015 15,26
Governor,,D,Under Votes,0016 16,17
Governor,,D,Under Votes,0017 17,12
Governor,,D,Under Votes,0018 18,10
Governor,,D,Under Votes,0019 19,8
Governor,,D,Under Votes,0020 20,13
Governor,,D,Under Votes,0021 21,1
Governor,,D,Under Votes,0022 22,4
Governor,,D,Under Votes,0023 23,2
State Senate,8,D,Sara A. Gelser,0001 01,282
State Senate,8,D,Sara A. Gelser,0002 02,255
State Senate,8,D,Sara A. Gelser,0003 03,421
State Senate,8,D,Sara A. Gelser,0004 04,192
State Senate,8,D,Sara A. Gelser,0005 05,285
State Senate,8,D,Sara A. Gelser,0006 06,540
State Senate,8,D,Sara A. Gelser,0007 07,917
State Senate,8,D,Sara A. Gelser,0008 08,837
State Senate,8,D,Sara A. Gelser,0009 09,440
State Senate,8,D,Sara A. Gelser,0010 10,275
State Senate,8,D,Sara A. Gelser,0011 11,428
State Senate,8,D,Sara A. Gelser,0016 16,561
State Senate,8,D,Sara A. Gelser,0018 18,112
State Senate,8,D,Sara A. Gelser,0021 21,44
State Senate,8,D,Sara A. Gelser,0023 23,70
State Senate,8,D,Write-ins,0001 01,2
State Senate,8,D,Write-ins,0002 02,1
State Senate,8,D,Write-ins,0003 03,2
State Senate,8,D,Write-ins,0004 04,2
State Senate,8,D,Write-ins,0005 05,1
State Senate,8,D,Write-ins,0006 06,3
State Senate,8,D,Write-ins,0007 07,6
State Senate,8,D,Write-ins,0008 08,3
State Senate,8,D,Write-ins,0009 09,2
State Senate,8,D,Write-ins,0010 10,3
State Senate,8,D,Write-ins,0011 11,5
State Senate,8,D,Write-ins,0016 16,4
State Senate,8,D,Write-ins,0018 18,2
State Senate,8,D,Write-ins,0021 21,1
State Senate,8,D,Write-ins,0023 23,1
State Senate,8,D,Over Votes,0001 01,0
State Senate,8,D,Over Votes,0002 02,0
State Senate,8,D,Over Votes,0003 03,0
State Senate,8,D,Over Votes,0004 04,0
State Senate,8,D,Over Votes,0005 05,0
State Senate,8,D,Over Votes,0006 06,0
State Senate,8,D,Over Votes,0007 07,0
State Senate,8,D,Over Votes,0008 08,0
State Senate,8,D,Over Votes,0009 09,0
State Senate,8,D,Over Votes,0010 10,0
State Senate,8,D,Over Votes,0011 11,0
State Senate,8,D,Over Votes,0016 16,0
State Senate,8,D,Over Votes,0018 18,0
State Senate,8,D,Over Votes,0021 21,0
State Senate,8,D,Over Votes,0023 23,0
State Senate,8,D,Under Votes,0001 01,34
State Senate,8,D,Under Votes,0002 02,35
State Senate,8,D,Under Votes,0003 03,70
State Senate,8,D,Under Votes,0004 04,32
State Senate,8,D,Under Votes,0005 05,34
State Senate,8,D,Under Votes,0006 06,68
State Senate,8,D,Under Votes,0007 07,97
State Senate,8,D,Under Votes,0008 08,87
State Senate,8,D,Under Votes,0009 09,55
State Senate,8,D,Under Votes,0010 10,44
State Senate,8,D,Under Votes,0011 11,91
State Senate,8,D,Under Votes,0016 16,70
State Senate,8,D,Under Votes,0018 18,32
State Senate,8,D,Under Votes,0021 21,8
State Senate,8,D,Under Votes,0023 23,14
State House,15,D,Write-ins,0011 11,17
State House,15,D,Write-ins,0018 18,3
State House,15,D,Write-ins,0023 23,4
State House,15,D,Over Votes,0011 11,0
State House,15,D,Over Votes,0018 18,0
State House,15,D,Over Votes,0023 23,0
State House,15,D,Under Votes,0011 11,507
State House,15,D,Under Votes,0018 18,143
State House,15,D,Under Votes,0023 23,81
State House,16,D,Dan Rayfield,0001 01,227
State House,16,D,Dan Rayfield,0002 02,209
State House,16,D,Dan Rayfield,0003 03,352
State House,16,D,Dan Rayfield,0004 04,161
State House,16,D,Dan Rayfield,0005 05,210
State House,16,D,Dan Rayfield,0006 06,441
State House,16,D,Dan Rayfield,0007 07,729
State House,16,D,Dan Rayfield,0008 08,678
State House,16,D,Dan Rayfield,0009 09,363
State House,16,D,Dan Rayfield,0010 10,236
State House,16,D,Dan Rayfield,0016 16,453
State House,16,D,Dan Rayfield,0021 21,34
State House,16,D,Write-ins,0001 01,1
State House,16,D,Write-ins,0002 02,3
State House,16,D,Write-ins,0003 03,2
State House,16,D,Write-ins,0004 04,2
State House,16,D,Write-ins,0005 05,1
State House,16,D,Write-ins,0006 06,2
State House,16,D,Write-ins,0007 07,4
State House,16,D,Write-ins,0008 08,0
State House,16,D,Write-ins,0009 09,3
State House,16,D,Write-ins,0010 10,4
State House,16,D,Write-ins,0016 16,2
State House,16,D,Write-ins,0021 21,0
State House,16,D,Over Votes,0001 01,0
State House,16,D,Over Votes,0002 02,0
State House,16,D,Over Votes,0003 03,1
State House,16,D,Over Votes,0004 04,0
State House,16,D,Over Votes,0005 05,0
State House,16,D,Over Votes,0006 06,0
State House,16,D,Over Votes,0007 07,0
State House,16,D,Over Votes,0008 08,0
State House,16,D,Over Votes,0009 09,0
State House,16,D,Over Votes,0010 10,0
State House,16,D,Over Votes,0016 16,0
State House,16,D,Over Votes,0021 21,0
State House,16,D,Under Votes,0001 01,90
State House,16,D,Under Votes,0002 02,79
State House,16,D,Under Votes,0003 03,138
State House,16,D,Under Votes,0004 04,63
State House,16,D,Under Votes,0005 05,109
State House,16,D,Under Votes,0006 06,168
State House,16,D,Under Votes,0007 07,287
State House,16,D,Under Votes,0008 08,249
State House,16,D,Under Votes,0009 09,131
State House,16,D,Under Votes,0010 10,82
State House,16,D,Under Votes,0016 16,180
State House,16,D,Under Votes,0021 21,19
State House,23,D,Wanda Davis,0012 12,25
State House,23,D,Wanda Davis,0013 13,25
State House,23,D,Wanda Davis,0014 14,34
State House,23,D,Wanda Davis,0015 15,240
State House,23,D,Wanda Davis,0017 17,199
State House,23,D,Wanda Davis,0019 19,125
State House,23,D,Wanda Davis,0020 20,126
State House,23,D,Wanda Davis,0022 22,46
State House,23,D,Write-ins,0012 12,1
State House,23,D,Write-ins,0013 13,0
State House,23,D,Write-ins,0014 14,1
State House,23,D,Write-ins,0015 15,8
State House,23,D,Write-ins,0017 17,3
State House,23,D,Write-ins,0019 19,3
State House,23,D,Write-ins,0020 20,3
State House,23,D,Write-ins,0022 22,0
State House,23,D,Over Votes,0012 12,0
State House,23,D,Over Votes,0013 13,0
State House,23,D,Over Votes,0014 14,0
State House,23,D,Over Votes,0015 15,0
State House,23,D,Over Votes,0017 17,0
State House,23,D,Over Votes,0019 19,0
State House,23,D,Over Votes,0020 20,0
State House,23,D,Over Votes,0022 22,0
State House,23,D,Under Votes,0012 12,5
State House,23,D,Under Votes,0013 13,15
State House,23,D,Under Votes,0014 14,19
State House,23,D,Under Votes,0015 15,174
State House,23,D,Under Votes,0017 17,98
State House,23,D,Under Votes,0019 19,94
State House,23,D,Under Votes,0020 20,77
State House,23,D,Under Votes,0022 22,27
U.S. Senate,,R,Monica Wehby,0001 01,91
U.S. Senate,,R,Monica Wehby,0002 02,31
U.S. Senate,,R,Monica Wehby,0003 03,99
U.S. Senate,,R,Monica Wehby,0004 04,30
U.S. Senate,,R,Monica Wehby,0005 05,26
U.S. Senate,,R,Monica Wehby,0006 06,90
U.S. Senate,,R,Monica Wehby,0007 07,167
U.S. Senate,,R,Monica Wehby,0008 08,253
U.S. Senate,,R,Monica Wehby,0009 09,135
U.S. Senate,,R,Monica Wehby,0010 10,128
U.S. Senate,,R,Monica Wehby,0011 11,382
U.S. Senate,,R,Monica Wehby,0012 12,23
U.S. Senate,,R,Monica Wehby,0013 13,16
U.S. Senate,,R,Monica Wehby,0014 14,30
U.S. Senate,,R,Monica Wehby,0015 15,148
U.S. Senate,,R,Monica Wehby,0016 16,201
U.S. Senate,,R,Monica Wehby,0017 17,93
U.S. Senate,,R,Monica Wehby,0018 18,100
U.S. Senate,,R,Monica Wehby,0019 19,91
U.S. Senate,,R,Monica Wehby,0020 20,124
U.S. Senate,,R,Monica Wehby,0021 21,27
U.S. Senate,,R,Monica Wehby,0022 22,21
U.S. Senate,,R,Monica Wehby,0023 23,22
U.S. Senate,,R,Jo Rae Perkins,0001 01,11
U.S. Senate,,R,Jo Rae Perkins,0002 02,1
U.S. Senate,,R,Jo Rae Perkins,0003 03,9
U.S. Senate,,R,Jo Rae Perkins,0004 04,2
U.S. Senate,,R,Jo Rae Perkins,0005 05,4
U.S. Senate,,R,Jo Rae Perkins,0006 06,9
U.S. Senate,,R,Jo Rae Perkins,0007 07,6
U.S. Senate,,R,Jo Rae Perkins,0008 08,13
U.S. Senate,,R,Jo Rae Perkins,0009 09,20
U.S. Senate,,R,Jo Rae Perkins,0010 10,15
U.S. Senate,,R,Jo Rae Perkins,0011 11,38
U.S. Senate,,R,Jo Rae Perkins,0012 12,1
U.S. Senate,,R,Jo Rae Perkins,0013 13,0
U.S. Senate,,R,Jo Rae Perkins,0014 14,5
U.S. Senate,,R,Jo Rae Perkins,0015 15,8
U.S. Senate,,R,Jo Rae Perkins,0016 16,10
U.S. Senate,,R,Jo Rae Perkins,0017 17,2
U.S. Senate,,R,Jo Rae Perkins,0018 18,30
U.S. Senate,,R,Jo Rae Perkins,0019 19,2
U.S. Senate,,R,Jo Rae Perkins,0020 20,9
U.S. Senate,,R,Jo Rae Perkins,0021 21,0
U.S. Senate,,R,Jo Rae Perkins,0022 22,2
U.S. Senate,,R,Jo Rae Perkins,0023 23,2
U.S. Senate,,R,Mark Callahan,0001 01,4
U.S. Senate,,R,Mark Callahan,0002 02,6
U.S. Senate,,R,Mark Callahan,0003 03,21
U.S. Senate,,R,Mark Callahan,0004 04,2
U.S. Senate,,R,Mark Callahan,0005 05,2
U.S. Senate,,R,Mark Callahan,0006 06,8
U.S. Senate,,R,Mark Callahan,0007 07,15
U.S. Senate,,R,Mark Callahan,0008 08,16
U.S. Senate,,R,Mark Callahan,0009 09,12
U.S. Senate,,R,Mark Callahan,0010 10,14
U.S. Senate,,R,Mark Callahan,0011 11,34
U.S. Senate,,R,Mark Callahan,0012 12,1
U.S. Senate,,R,Mark Callahan,0013 13,2
U.S. Senate,,R,Mark Callahan,0014 14,4
U.S. Senate,,R,Mark Callahan,0015 15,18
U.S. Senate,,R,Mark Callahan,0016 16,12
U.S. Senate,,R,Mark Callahan,0017 17,12
U.S. Senate,,R,Mark Callahan,0018 18,7
U.S. Senate,,R,Mark Callahan,0019 19,8
U.S. Senate,,R,Mark Callahan,0020 20,18
U.S. Senate,,R,Mark Callahan,0021 21,2
U.S. Senate,,R,Mark Callahan,0022 22,8
U.S. Senate,,R,Mark Callahan,0023 23,1
U.S. Senate,,R,Timothy I. Crawley,0001 01,4
U.S. Senate,,R,Timothy I. Crawley,0002 02,2
U.S. Senate,,R,Timothy I. Crawley,0003 03,9
U.S. Senate,,R,Timothy I. Crawley,0004 04,7
U.S. Senate,,R,Timothy I. Crawley,0005 05,1
U.S. Senate,,R,Timothy I. Crawley,0006 06,11
U.S. Senate,,R,Timothy I. Crawley,0007 07,9
U.S. Senate,,R,Timothy I. Crawley,0008 08,11
U.S. Senate,,R,Timothy I. Crawley,0009 09,15
U.S. Senate,,R,Timothy I. Crawley,0010 10,8
U.S. Senate,,R,Timothy I. Crawley,0011 11,15
U.S. Senate,,R,Timothy I. Crawley,0012 12,2
U.S. Senate,,R,Timothy I. Crawley,0013 13,1
U.S. Senate,,R,Timothy I. Crawley,0014 14,1
U.S. Senate,,R,Timothy I. Crawley,0015 15,19
U.S. Senate,,R,Timothy I. Crawley,0016 16,11
U.S. Senate,,R,Timothy I. Crawley,0017 17,5
U.S. Senate,,R,Timothy I. Crawley,0018 18,3
U.S. Senate,,R,Timothy I. Crawley,0019 19,2
U.S. Senate,,R,Timothy I. Crawley,0020 20,5
U.S. Senate,,R,Timothy I. Crawley,0021 21,1
U.S. Senate,,R,Timothy I. Crawley,0022 22,6
U.S. Senate,,R,Timothy I. Crawley,0023 23,1
U.S. Senate,,R,Jason Conger,0001 01,72
U.S. Senate,,R,Jason Conger,0002 02,15
U.S. Senate,,R,Jason Conger,0003 03,62
U.S. Senate,,R,Jason Conger,0004 04,31
U.S. Senate,,R,Jason Conger,0005 05,18
U.S. Senate,,R,Jason Conger,0006 06,70
U.S. Senate,,R,Jason Conger,0007 07,83
U.S. Senate,,R,Jason Conger,0008 08,106
