county,candidate,party,office,district,precinct,votes
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3607,23
Multnomah,John Kitzhaber,DEM,Governor,,3607,625
Multnomah,Write-ins,DEM,Governor,,3607,4
Multnomah,Over Votes,DEM,Governor,,3607,0
Multnomah,Under Votes,DEM,Governor,,3607,22
Multnomah,Bruce A Cuff,REP,Governor,,3607,5
Multnomah,Gordon Challstrom,REP,Governor,,3607,5
Multnomah,Tim Carr,REP,Governor,,3607,13
Multnomah,Dennis Richardson,REP,Governor,,3607,99
Multnomah,Mae Rafferty,REP,Governor,,3607,5
Multnomah,Darren Karr,REP,Governor,,3607,1
Multnomah,Write-ins,REP,Governor,,3607,4
Multnomah,Over Votes,REP,Governor,,3607,0
Multnomah,Under Votes,REP,Governor,,3607,43
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3608,36
Multnomah,John Kitzhaber,DEM,Governor,,3608,827
Multnomah,Write-ins,DEM,Governor,,3608,7
Multnomah,Over Votes,DEM,Governor,,3608,0
Multnomah,Under Votes,DEM,Governor,,3608,51
Multnomah,Bruce A Cuff,REP,Governor,,3608,6
Multnomah,Gordon Challstrom,REP,Governor,,3608,18
Multnomah,Tim Carr,REP,Governor,,3608,12
Multnomah,Dennis Richardson,REP,Governor,,3608,151
Multnomah,Mae Rafferty,REP,Governor,,3608,8
Multnomah,Darren Karr,REP,Governor,,3608,2
Multnomah,Write-ins,REP,Governor,,3608,5
Multnomah,Over Votes,REP,Governor,,3608,0
Multnomah,Under Votes,REP,Governor,,3608,58
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3609,6
Multnomah,John Kitzhaber,DEM,Governor,,3609,118
Multnomah,Write-ins,DEM,Governor,,3609,0
Multnomah,Over Votes,DEM,Governor,,3609,0
Multnomah,Under Votes,DEM,Governor,,3609,10
Multnomah,Bruce A Cuff,REP,Governor,,3609,0
Multnomah,Gordon Challstrom,REP,Governor,,3609,2
Multnomah,Tim Carr,REP,Governor,,3609,6
Multnomah,Dennis Richardson,REP,Governor,,3609,42
Multnomah,Mae Rafferty,REP,Governor,,3609,4
Multnomah,Darren Karr,REP,Governor,,3609,1
Multnomah,Write-ins,REP,Governor,,3609,0
Multnomah,Over Votes,REP,Governor,,3609,0
Multnomah,Under Votes,REP,Governor,,3609,17
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3610,28
Multnomah,John Kitzhaber,DEM,Governor,,3610,967
Multnomah,Write-ins,DEM,Governor,,3610,8
Multnomah,Over Votes,DEM,Governor,,3610,0
Multnomah,Under Votes,DEM,Governor,,3610,65
Multnomah,Bruce A Cuff,REP,Governor,,3610,13
Multnomah,Gordon Challstrom,REP,Governor,,3610,16
Multnomah,Tim Carr,REP,Governor,,3610,21
Multnomah,Dennis Richardson,REP,Governor,,3610,179
Multnomah,Mae Rafferty,REP,Governor,,3610,8
Multnomah,Darren Karr,REP,Governor,,3610,3
Multnomah,Write-ins,REP,Governor,,3610,9
Multnomah,Over Votes,REP,Governor,,3610,0
Multnomah,Under Votes,REP,Governor,,3610,66
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3611,49
Multnomah,John Kitzhaber,DEM,Governor,,3611,1120
Multnomah,Write-ins,DEM,Governor,,3611,9
Multnomah,Over Votes,DEM,Governor,,3611,0
Multnomah,Under Votes,DEM,Governor,,3611,64
Multnomah,Bruce A Cuff,REP,Governor,,3611,23
Multnomah,Gordon Challstrom,REP,Governor,,3611,23
Multnomah,Tim Carr,REP,Governor,,3611,18
Multnomah,Dennis Richardson,REP,Governor,,3611,171
Multnomah,Mae Rafferty,REP,Governor,,3611,7
Multnomah,Darren Karr,REP,Governor,,3611,5
Multnomah,Write-ins,REP,Governor,,3611,4
Multnomah,Over Votes,REP,Governor,,3611,0
Multnomah,Under Votes,REP,Governor,,3611,53
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3612,22
Multnomah,John Kitzhaber,DEM,Governor,,3612,964
Multnomah,Write-ins,DEM,Governor,,3612,11
Multnomah,Over Votes,DEM,Governor,,3612,0
Multnomah,Under Votes,DEM,Governor,,3612,32
Multnomah,Bruce A Cuff,REP,Governor,,3612,7
Multnomah,Gordon Challstrom,REP,Governor,,3612,9
Multnomah,Tim Carr,REP,Governor,,3612,19
Multnomah,Dennis Richardson,REP,Governor,,3612,98
Multnomah,Mae Rafferty,REP,Governor,,3612,16
Multnomah,Darren Karr,REP,Governor,,3612,2
Multnomah,Write-ins,REP,Governor,,3612,5
Multnomah,Over Votes,REP,Governor,,3612,0
Multnomah,Under Votes,REP,Governor,,3612,35
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3801,42
Multnomah,John Kitzhaber,DEM,Governor,,3801,986
Multnomah,Write-ins,DEM,Governor,,3801,14
Multnomah,Over Votes,DEM,Governor,,3801,0
Multnomah,Under Votes,DEM,Governor,,3801,70
Multnomah,Bruce A Cuff,REP,Governor,,3801,8
Multnomah,Gordon Challstrom,REP,Governor,,3801,18
Multnomah,Tim Carr,REP,Governor,,3801,19
Multnomah,Dennis Richardson,REP,Governor,,3801,197
Multnomah,Mae Rafferty,REP,Governor,,3801,17
Multnomah,Darren Karr,REP,Governor,,3801,1
Multnomah,Write-ins,REP,Governor,,3801,8
Multnomah,Over Votes,REP,Governor,,3801,0
Multnomah,Under Votes,REP,Governor,,3801,69
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3802,44
Multnomah,John Kitzhaber,DEM,Governor,,3802,787
Multnomah,Write-ins,DEM,Governor,,3802,8
Multnomah,Over Votes,DEM,Governor,,3802,0
Multnomah,Under Votes,DEM,Governor,,3802,67
Multnomah,Bruce A Cuff,REP,Governor,,3802,4
Multnomah,Gordon Challstrom,REP,Governor,,3802,14
Multnomah,Tim Carr,REP,Governor,,3802,22
Multnomah,Dennis Richardson,REP,Governor,,3802,147
Multnomah,Mae Rafferty,REP,Governor,,3802,2
Multnomah,Darren Karr,REP,Governor,,3802,2
Multnomah,Write-ins,REP,Governor,,3802,3
Multnomah,Over Votes,REP,Governor,,3802,0
Multnomah,Under Votes,REP,Governor,,3802,35
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3803,42
Multnomah,John Kitzhaber,DEM,Governor,,3803,855
Multnomah,Write-ins,DEM,Governor,,3803,2
Multnomah,Over Votes,DEM,Governor,,3803,0
Multnomah,Under Votes,DEM,Governor,,3803,52
Multnomah,Bruce A Cuff,REP,Governor,,3803,10
Multnomah,Gordon Challstrom,REP,Governor,,3803,12
Multnomah,Tim Carr,REP,Governor,,3803,9
Multnomah,Dennis Richardson,REP,Governor,,3803,92
Multnomah,Mae Rafferty,REP,Governor,,3803,11
Multnomah,Darren Karr,REP,Governor,,3803,0
Multnomah,Write-ins,REP,Governor,,3803,1
Multnomah,Over Votes,REP,Governor,,3803,0
Multnomah,Under Votes,REP,Governor,,3803,27
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3804,14
Multnomah,John Kitzhaber,DEM,Governor,,3804,680
Multnomah,Write-ins,DEM,Governor,,3804,7
Multnomah,Over Votes,DEM,Governor,,3804,0
Multnomah,Under Votes,DEM,Governor,,3804,50
Multnomah,Bruce A Cuff,REP,Governor,,3804,6
Multnomah,Gordon Challstrom,REP,Governor,,3804,15
Multnomah,Tim Carr,REP,Governor,,3804,23
Multnomah,Dennis Richardson,REP,Governor,,3804,90
Multnomah,Mae Rafferty,REP,Governor,,3804,11
Multnomah,Darren Karr,REP,Governor,,3804,2
Multnomah,Write-ins,REP,Governor,,3804,1
Multnomah,Over Votes,REP,Governor,,3804,1
Multnomah,Under Votes,REP,Governor,,3804,35
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3805,18
Multnomah,John Kitzhaber,DEM,Governor,,3805,385
Multnomah,Write-ins,DEM,Governor,,3805,6
Multnomah,Over Votes,DEM,Governor,,3805,0
Multnomah,Under Votes,DEM,Governor,,3805,27
Multnomah,Bruce A Cuff,REP,Governor,,3805,8
Multnomah,Gordon Challstrom,REP,Governor,,3805,11
Multnomah,Tim Carr,REP,Governor,,3805,3
Multnomah,Dennis Richardson,REP,Governor,,3805,65
Multnomah,Mae Rafferty,REP,Governor,,3805,8
Multnomah,Darren Karr,REP,Governor,,3805,0
Multnomah,Write-ins,REP,Governor,,3805,3
Multnomah,Over Votes,REP,Governor,,3805,1
Multnomah,Under Votes,REP,Governor,,3805,22
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3806,12
Multnomah,John Kitzhaber,DEM,Governor,,3806,323
Multnomah,Write-ins,DEM,Governor,,3806,3
Multnomah,Over Votes,DEM,Governor,,3806,0
Multnomah,Under Votes,DEM,Governor,,3806,11
Multnomah,Bruce A Cuff,REP,Governor,,3806,9
Multnomah,Gordon Challstrom,REP,Governor,,3806,11
Multnomah,Tim Carr,REP,Governor,,3806,11
Multnomah,Dennis Richardson,REP,Governor,,3806,114
Multnomah,Mae Rafferty,REP,Governor,,3806,8
Multnomah,Darren Karr,REP,Governor,,3806,2
Multnomah,Write-ins,REP,Governor,,3806,1
Multnomah,Over Votes,REP,Governor,,3806,0
Multnomah,Under Votes,REP,Governor,,3806,36
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3807,3
Multnomah,John Kitzhaber,DEM,Governor,,3807,165
Multnomah,Write-ins,DEM,Governor,,3807,4
Multnomah,Over Votes,DEM,Governor,,3807,0
Multnomah,Under Votes,DEM,Governor,,3807,12
Multnomah,Bruce A Cuff,REP,Governor,,3807,7
Multnomah,Gordon Challstrom,REP,Governor,,3807,9
Multnomah,Tim Carr,REP,Governor,,3807,5
Multnomah,Dennis Richardson,REP,Governor,,3807,107
Multnomah,Mae Rafferty,REP,Governor,,3807,1
Multnomah,Darren Karr,REP,Governor,,3807,0
Multnomah,Write-ins,REP,Governor,,3807,1
Multnomah,Over Votes,REP,Governor,,3807,0
Multnomah,Under Votes,REP,Governor,,3807,19
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,3808,0
Multnomah,John Kitzhaber,DEM,Governor,,3808,17
Multnomah,Write-ins,DEM,Governor,,3808,0
Multnomah,Over Votes,DEM,Governor,,3808,0
Multnomah,Under Votes,DEM,Governor,,3808,1
Multnomah,Bruce A Cuff,REP,Governor,,3808,0
Multnomah,Gordon Challstrom,REP,Governor,,3808,0
Multnomah,Tim Carr,REP,Governor,,3808,0
Multnomah,Dennis Richardson,REP,Governor,,3808,8
Multnomah,Mae Rafferty,REP,Governor,,3808,0
Multnomah,Darren Karr,REP,Governor,,3808,0
Multnomah,Write-ins,REP,Governor,,3808,0
Multnomah,Over Votes,REP,Governor,,3808,0
Multnomah,Under Votes,REP,Governor,,3808,2
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,4101,46
Multnomah,John Kitzhaber,DEM,Governor,,4101,938
Multnomah,Write-ins,DEM,Governor,,4101,13
Multnomah,Over Votes,DEM,Governor,,4101,0
Multnomah,Under Votes,DEM,Governor,,4101,64
Multnomah,Bruce A Cuff,REP,Governor,,4101,15
Multnomah,Gordon Challstrom,REP,Governor,,4101,4
Multnomah,Tim Carr,REP,Governor,,4101,7
Multnomah,Dennis Richardson,REP,Governor,,4101,81
Multnomah,Mae Rafferty,REP,Governor,,4101,9
Multnomah,Darren Karr,REP,Governor,,4101,1
Multnomah,Write-ins,REP,Governor,,4101,2
Multnomah,Over Votes,REP,Governor,,4101,0
Multnomah,Under Votes,REP,Governor,,4101,30
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,4102,64
Multnomah,John Kitzhaber,DEM,Governor,,4102,798
Multnomah,Write-ins,DEM,Governor,,4102,14
Multnomah,Over Votes,DEM,Governor,,4102,1
Multnomah,Under Votes,DEM,Governor,,4102,69
Multnomah,Bruce A Cuff,REP,Governor,,4102,16
Multnomah,Gordon Challstrom,REP,Governor,,4102,23
Multnomah,Tim Carr,REP,Governor,,4102,21
Multnomah,Dennis Richardson,REP,Governor,,4102,109
Multnomah,Mae Rafferty,REP,Governor,,4102,10
Multnomah,Darren Karr,REP,Governor,,4102,2
Multnomah,Write-ins,REP,Governor,,4102,2
Multnomah,Over Votes,REP,Governor,,4102,0
Multnomah,Under Votes,REP,Governor,,4102,28
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,4103,46
Multnomah,John Kitzhaber,DEM,Governor,,4103,1114
Multnomah,Write-ins,DEM,Governor,,4103,9
Multnomah,Over Votes,DEM,Governor,,4103,0
Multnomah,Under Votes,DEM,Governor,,4103,67
Multnomah,Bruce A Cuff,REP,Governor,,4103,16
Multnomah,Gordon Challstrom,REP,Governor,,4103,17
Multnomah,Tim Carr,REP,Governor,,4103,22
Multnomah,Dennis Richardson,REP,Governor,,4103,171
Multnomah,Mae Rafferty,REP,Governor,,4103,14
Multnomah,Darren Karr,REP,Governor,,4103,2
Multnomah,Write-ins,REP,Governor,,4103,2
Multnomah,Over Votes,REP,Governor,,4103,0
Multnomah,Under Votes,REP,Governor,,4103,53
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,4104,41
Multnomah,John Kitzhaber,DEM,Governor,,4104,1267
Multnomah,Write-ins,DEM,Governor,,4104,15
Multnomah,Over Votes,DEM,Governor,,4104,0
Multnomah,Under Votes,DEM,Governor,,4104,54
Multnomah,Bruce A Cuff,REP,Governor,,4104,10
Multnomah,Gordon Challstrom,REP,Governor,,4104,13
Multnomah,Tim Carr,REP,Governor,,4104,23
Multnomah,Dennis Richardson,REP,Governor,,4104,110
Multnomah,Mae Rafferty,REP,Governor,,4104,6
Multnomah,Darren Karr,REP,Governor,,4104,1
Multnomah,Write-ins,REP,Governor,,4104,3
Multnomah,Over Votes,REP,Governor,,4104,0
Multnomah,Under Votes,REP,Governor,,4104,30
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,4201,30
Multnomah,John Kitzhaber,DEM,Governor,,4201,794
Multnomah,Write-ins,DEM,Governor,,4201,15
Multnomah,Over Votes,DEM,Governor,,4201,0
Multnomah,Under Votes,DEM,Governor,,4201,65
Multnomah,Bruce A Cuff,REP,Governor,,4201,1
Multnomah,Gordon Challstrom,REP,Governor,,4201,4
Multnomah,Tim Carr,REP,Governor,,4201,1
Multnomah,Dennis Richardson,REP,Governor,,4201,29
Multnomah,Mae Rafferty,REP,Governor,,4201,4
Multnomah,Darren Karr,REP,Governor,,4201,1
Multnomah,Write-ins,REP,Governor,,4201,0
Multnomah,Over Votes,REP,Governor,,4201,0
Multnomah,Under Votes,REP,Governor,,4201,16
Multnomah,Ifeanyichukwu C Diru,DEM,Governor,,4203,22
Multnomah,John Kitzhaber,DEM,Governor,,4203,651
Multnomah,Write-ins,DEM,Governor,,4203,7
Multnomah,Over Votes,DEM,Governor,,4203,0
Multnomah,Under Votes,DEM,Governor,,4203,51
Multnomah,Bruce A Cuff,REP,Governor,,4203,6
Multnomah,Gordon Challstrom,REP,Governor,,4203,5
Multnomah,Tim Carr,REP,Governor,,4203,2
Multnomah,Dennis Richardson,REP,Governor,,4203,32
Multnomah,Mae Rafferty,REP,Governor,,4203,5
Multnomah,Darren Karr,REP,Governor,,4203,0
Multnomah,Write-ins,REP,Governor,,4203,3
Multnomah,Over Votes,REP,Governor,,4203,0
Multnomah,Under Votes,REP,Governor,,4203,9
